,0
219,"Parkinson's disease (PD) is a neurological condition with the fastest rise in prevalence globally; it affects over 10 million people and is currently incurable. Originally considered purely a disorder of the dopaminergic nigrostriatal pathway, PD is increasingly recognized as a complex pathology affecting different cell types and multiple brain regions beyond substantia nigra of midbrain. These findings call for new conceptual approaches to translational research in PD which would aim to restore functions of multiple cell types. We previously demonstrated a decrease in astrocytic connexin43 (Cx43) protein in human late-stage idiopathic PD, but its functional consequences remain unknown. In the present work we hypothesized that the key etiologies relevant to human idiopathic PD include inflammation and α-synuclein aggregation, which were applied to a number of model systems ranging from rat and human cultured astrocytes, co-cultures, and rat models of PD. We report that these challenges structurally and functionally disrupt astrocytic networks comprised of Cx43-containing gap junctions (GJs) in astrocytes from multiple brain regions and across species (rat, human), and that Cx43 is downregulated in α-synuclein pre-formed fibril-induced rat PD models. Causal rather than correlational roles of Cx43 dysfunction in PD pathology are suggested as experimental downregulation of Cx43 with shRNA dysregulates calcium signaling and exacerbates α-synuclein aggregation, while pharmacological preservation of GJs (and possible hemichannel closure) using a Cx43-modulating compounds danegaptide (GAP-134, ZP1609) reduces aspects of pathology induced by inflammation and α-synuclein in vitro and in vivo. Cx43 may therefore represent a new therapeutic target for disease modification in PD."
220,"Parkinson's disease (PD) is characterized by the progressive degeneration of dopaminergic neurons, leading to motor and non-motor symptoms. Current therapeutic options for PD have limited efficacy and cause significant side effects, necessitating the development of novel therapeutic strategies. In this study, we investigated the neuroprotective effects of cortex of Albizia julibrissin Durazzini (AC) and stems and branches of Uncariae rhynchophylla (Miq.) Miq. (UR), individually and in combination, in cellular and animal models of PD. We evaluated the neuroprotective effects of water extract of AC and UR individually in 6-OHDA-treated PC12 cells using MTT assay. Combination index (CI) analysis was employed to determine the optimal AC:UR ratio for synergistic effects. The bioactivity of individual herbs and their optimized combination was assessed in 6-OHDA-lesioned mice through behavioral tests (pole, rotarod, and apomorphine-induced rotation) and immunohistochemical analysis of dopaminergic neurons in the striatum and substantia nigra pars compacta. Both herbal remedies exhibited neuroprotective effects in 6-OHDA-treated PC12 cells. A 2:1 ratio of AC to UR yielded the most potent synergistic neuroprotective effect (CI = 0.38459), significantly improving motor function in 6-OHDA-lesioned mice. Immunohistochemical analysis revealed that the 2:1 AC-to-UR combination significantly protected dopaminergic neurons against 6-OHDA-induced neurodegeneration with efficacy comparable to or exceeding standard levodopa/benserazide treatment. Our findings establish a foundation for developing multi-target therapies based on natural products that may offer comprehensive neuroprotection with potentially fewer side effects than conventional pharmaceuticals."
221,"Aerobic exercise improves motor dysfunction in Parkinson's disease (PD), but the striatal cell-type-specific mechanisms underlying this effect remain incompletely understood. Here, we investigated whether altered total extracellular signal-regulated kinase (ERK) expression and Mapk1/3-associated functional changes in dorsolateral striatal dopamine D2 receptor-expressing medium spiny neurons (D2-MSNs) are associated with exercise-related functional recovery in 1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine (MPTP)-induced parkinsonian mice. Mice underwent four weeks of moderate-intensity treadmill training, followed by behavioral assessment, tyrosine hydroxylase (TH) immunohistochemistry, ERK/PENK immunofluorescence, D2-Cre/DIO-shRNA-mediated Mapk1/3 knockdown, qRT-PCR, and whole-cell patch-clamp recordings. Compared with control mice, MPTP-treated mice showed reduced locomotor activity, shortened stride length, fewer TH-positive neurons in the substantia nigra pars compacta, increased total ERK/PENK double-positive cells in the dorsolateral striatum, and enhanced D2-MSN excitability and excitatory synaptic input. Compared with sedentary MPTP-treated mice, exercise improved open-field and gait performance, increased TH-positive neuronal counts, reduced ERK/PENK double-positive cells, and attenuated D2-MSN hyperexcitability and excessive spontaneous excitatory postsynaptic current frequency and amplitude. Cell-type-targeted Mapk1/3 knockdown reduced Mapk1 and Mapk3 mRNA expression and produced behavioral, histological, molecular, and electrophysiological effects similar to exercise. Combining Mapk1/3 knockdown with exercise did not further enhance these outcomes relative to exercise with scramble control, supporting a non-additive pattern consistent with overlapping Mapk1/3-associated functional mechanisms. Honokiol-based pharmacological perturbation provided additional supportive functional evidence, although these findings were interpreted cautiously because honokiol is pharmacologically pleiotropic and cannot be used to infer ERK activation. Together, these results suggest that modulation of total ERK expression and Mapk1/3-associated functional abnormalities in dorsolateral striatal D2-MSNs may contribute to exercise-associated motor improvement in MPTP-induced parkinsonian mice."
222,"Parkinson's disease (PD) is a progressive neurodegenerative disorder characterized by motor dysfunction. The main pathological manifestations are abnormal accumulation of α-synuclein (α-Syn) in substantia nigra neurons and loss of dopaminergic neurons (DAn). Gastrointestinal (GI) symptom is one of the common non-motor symptoms in PD. It is known that the brain and gut communicate via the parasympathetic nerves and the enteric nervous system (ENS), forming a bidirectional pathway called the gut-brain axis. Dysbiosis of the gut microbiota may be a key driver in the origin and pathological progression of PD, playing an important role in the spread of pathological α-Syn to the central nervous system (CNS) and thereby promoting the progression of PD. This article reviews the mechanism of gut microbiota dysbiosis in the pathogenesis and progression of PD, including its effects on intestinal barrier integrity, neuroinflammation, and pathological α-Syn transmission, and discusses the diagnosis and therapeutic strategies targeting the gut-brain axis, including microbiota transplantation, vagus nerve stimulation, Toll-like receptor 4 (TLR4) antagonists, exercise training, <i>etc</i>., providing new insights for the diagnosis and treatment of PD."
223,"The synaptic vesicle protein SV2C, predominantly found in the basal ganglia, has been associated with Parkinson's disease through genetic studies. It plays a crucial role in regulating dopamine release and has been shown to be disrupted in PD animal models and brain tissues from PD patients. In the context of PD-related synaptopathy, SV2C may serve as a potential imaging target for monitoring disease progression and response to treatment. [<sup>18</sup>F]UCB-F is a radioligand binding to SV2C developed by UCB. Preliminary autoradiography and PET studies in rats showed that [<sup>18</sup>F]UCB-F displays a brain distribution consistent with the expression of SV2C <i>in vitro</i> but does not display any specific binding <i>in vivo</i>. This study was therefore designed to further investigate the affinity and selectivity of [<sup>18</sup>F]UCB-F for SV2C and to examine the <i>in vitro</i> and <i>in vivo</i> properties of the radioligand in nonhuman primates. <i>In vitro</i> binding studies were performed to measure the affinity of UCB-F to SV2A, SV2B, and SV2C. In-silico modeling was used to assess the binding mode and energy of UCB-F. Autoradiography studies on rat and nonhuman primate (NHP) brain tissues were performed to confirm that [<sup>18</sup>F]UCB-F showed similar distribution in rat and NHP tissue. Finally, PET studied in NHPs were performed to examine the <i>in vivo</i> pharmacokinetic properties of [<sup>18</sup>F]UCB-F. [<sup>18</sup>F]UCB-F was successfully synthesized from the corresponding precursor with high yield. Autoradiography on brain slices from rats and NHPs demonstrated specific binding of [<sup>18</sup>F]UCB-F in the pallidum, striatum, substantia nigra, and brainstem, consistent with the known brain expression of SV2C. In NHPs, [<sup>18</sup>F]UCB-F rapidly crossed the blood-brain barrier, reaching peak uptake values of 2.8%ID in NHP1 and 2.1%ID in NHP2 at 4 min postinjection. The tracer was rapidly washed out from the brain, with no clear regional distribution. Radiometabolite analysis revealed the formation of only more polar radiometabolites, with approximately 15% of unchanged radioligand remaining in plasma at 15 min postinjection. <i>In vitro</i> and <i>in-silico</i> studies demonstrated that the affinity of [<sup>18</sup>F]UCB-F decreased by approximately one factor of magnitude with increase of temperature from 277 K (4 °C) to 310 K (37 °C). This temperature-related decrease of the affinity for SV2C together with rapid <i>in vivo</i> radiometabolism might explain the discrepancy between <i>in vitro</i> and <i>in vivo</i> performance of [<sup>18</sup>F]UCB-F. Overall, these findings suggest that [<sup>18</sup>F]UCB-F is not a suitable PET radioligand for imaging SV2C. Further research is needed to identify alternative candidates with improved in vivo stability and brain retention."
224,"Parkinson's disease (PD) is defined by the progressive degeneration of dopaminergic neurons within the substantia nigra and the pathological accumulation of α-synuclein (α-syn) aggregates. Beyond these intracellular hallmarks, the extracellular matrix (ECM) has emerged as an active regulator of synaptic dysfunction, neuroinflammation, and disease progression. Recent multi-omics evidence, including transcriptomic and proteomic profiling of post-mortem tissue and iPSC-derived neurons, demonstrates consistent dysregulation of ECM components across both sporadic and genetic PD subtypes-typified by downregulation of basement membrane collagens (COL4A) and integrin signaling (ITGB1), alongside upregulation of matrix metalloproteinases (MMPs). These alterations destabilize perineuronal nets (PNNs), allow prion-like α-syn propagation, and promote glial activation through TLR-mediated signaling. Circulating ECM-derived neoepitopes (C1M, C4M) may complement neurofilament light chain as prognostic biomarkers of disease progression, although prospective validation remains necessary. Pharmacological strategies targeting MMP activity (e.g., doxycycline), integrin-FAK signaling (ATN-161), and MMP-TIMP balance (mesenchymal stem cells) represent emerging therapeutic avenues, though clinical evidence in PD remains limited. This review synthesizes current evidence on ECM dysregulation in PD and discusses its implications for biomarker development and disease-modifying intervention."
225,"<b>Background/Objectives:</b> Rotenone (RT)-induced neurotoxicity is widely used to model Parkinsonism-like nigrostriatal injury and recapitulates several PD-relevant pathological features, including oxidative stress, mitochondrial dysfunction, neuroinflammation, and dopaminergic neurochemical disturbance. Loganin (LG), an iridoid glycoside isolated from <i>Cornus officinalis</i>, has been reported to possess antioxidant, anti-inflammatory, anti-apoptotic, and neuroprotective properties. However, its protective effects in a unilateral stereotaxic RT lesion model have not been fully elucidated. This study aimed to investigate the neuroprotective potential of LG against RT-induced Parkinsonism-like pathology in rats and to explore the possible involvement of antioxidant-related signaling mechanisms. <b>Methods:</b> Adult male Wistar rats were randomly assigned to twelve experimental groups (<i>n</i> = 8/group), including control, sham, RT, sham + LG, RT + LG, RT + trigonelline (TG) + LG, and RT + selegiline (SL). RT was stereotaxically injected once into the right substantia nigra pars compacta (SNpc) on Day 0 to induce unilateral nigrostriatal injury. LG was administered orally once daily from Day 1 to Day 21 at doses of 3, 10, and 30 mg/kg. TG was given intraperitoneally 30 min before LG treatment, while SL served as a reference antiparkinsonian drug. Behavioral assessments and biochemical analyses were conducted to evaluate motor dysfunction, oxidative and nitrosative stress, endogenous antioxidant status, mitochondrial dysfunction, inflammatory and apoptotic responses in the SNpc, and striatal catecholamine disturbances. <b>Results:</b> RT lesioning produced significant motor deficits, oxidative and nitrosative stress, depletion of endogenous antioxidant defenses, mitochondrial dysfunction, inflammatory and apoptotic activation in the SNpc, and abnormalities in striatal catecholamine levels. LG treatment significantly attenuated these pathological changes, with more pronounced protective effects observed at 10 and 30 mg/kg. Co-administration of TG partially weakened the beneficial effects of LG, suggesting the possible involvement of antioxidant defense-related signaling while not providing direct proof of a single pathway. SL also ameliorated RT-induced behavioral and biochemical abnormalities. <b>Conclusions:</b> These findings suggest that LG confers multi-target neuroprotective effects against RT-induced Parkinsonism-like features in rats. The protective actions of LG were associated with attenuation of oxidative stress, mitochondrial dysfunction, neuroinflammation, apoptosis, and catecholaminergic disturbances. Because the pathway analysis remains pharmacological and indirect, additional studies using direct molecular validation are warranted before LG can be considered a disease-modifying candidate for PD-related neurodegeneration."
226,"Environmental exposure to neurotoxicants during critical developmental windows may program long-term susceptibility to neurodegenerative diseases such as Parkinson's disease. Here, we investigated whether rotenone exposure during neurodevelopment induces a more severe Parkinsonian phenotype during aging than adult-onset exposure. Wistar rats were exposed to rotenone (1 mg/kg/day) either during gestation and lactation or from postnatal day 60 to 102. Motor performance was assessed longitudinally, and neurobiological analyses were conducted at 12 months of age. Developmental rotenone exposure induced persistent and severe motor deficits from early adulthood, whereas adult exposure resulted in a progressive phenotype. These alterations were accompanied by greater loss of tyrosine hydroxylase-positive dopaminergic neurons and a marked reduction in Nurr1 expression in the substantia nigra. Developmental exposure also increased cellular senescence, dendritic atrophy and spine loss in striatal medium spiny neurons, insoluble α-synuclein accumulation, and global DNA hypomethylation. Despite low residual serum rotenone levels, neurodegenerative alterations persisted, supporting a hit-and-run mechanism. These findings suggest that early-life rotenone exposure induces long-lasting epigenetic and cellular reprogramming that enhances nigrostriatal vulnerability and accelerates Parkinsonian neurodegeneration during aging."
227,"Inhibitory neurons of the substantia nigra pars reticulata (SNr) serve as a primary output through which the basal ganglia regulate behavior. Using a virally targeted optogenetic approach, combined with whole cell patch-clamp recordings of SNr neurons, we show that, in mice, projection neurons of both primary and secondary motor cortices (M1 and M2) form monosynaptic excitatory connections onto different subpopulations of GABAergic SNr neurons. Furthermore, photostimulation of these cortical axon terminals markedly increases SNr neuron firing rate. To investigate the spatial organization of cortical input to the SNr, we employed a transsynaptic viral-labelling approach to identify SNr neurons receiving monosynaptic input from either M1 or M2. We found a topographical organization of the M1 and M2 projections in SNr. Chemogenetic inhibition of M1- and M2-targeted SNr neurons induced opposing changes in spontaneous behavior. These findings reveal functional pathways by which the motor cortex can directly modulate basal ganglia output to downstream targets."
228,"Parkinson's disease (PD) presents a formidable therapeutic challenge rooted not in a singular pathogenic event but in the convergent failure of mitochondrial homeostasis, redox balance, α-synuclein proteostasis, autophagy-lysosomal integrity, and neuroinflammatory amplification within substantia nigra dopaminergic neurons. Existing dopaminergic pharmacotherapies address symptomatic deficits while leaving the underlying neurodegenerative cascade unchecked, underscoring the need for disease-modifying strategies with multi-target mechanistic reach. This review examines bacoside-A, the principal triterpenoid saponin complex of Bacopa monnieri (L.) Wettst., as a structurally distinctive, polypharmacological neuroprotective scaffold whose biological relevance emerges from convergence with core vulnerability pathways driving dopaminergic degeneration. Integrating in silico, in vitro, and in vivo evidence, we examine how bacoside-A engages molecular targets including α-synuclein aggregation intermediates, monoamine oxidase-B, LRRK2 kinase, PINK1-Parkin mitophagy regulators, and the redox sensor DJ-1, with computational predictions providing a coherent mechanistic framework for findings observed across MPP⁺-, rotenone-, and 6-OHDA-based preclinical models, including attenuation of mitochondrial dysfunction, oxidative amplification, and apoptotic signalling, and partial nigrostriatal preservation with motor improvement in vivo. This review reframes bacoside-A as a stress-buffering, network-active modulator most relevant during early, pre-degenerative disease stages. While no clinical trial has yet evaluated bacoside-A in PD, and findings from cognitive or other non-PD indications cannot be extrapolated as efficacy evidence, the convergent mechanistic, computational, and preclinical evidence presented here provides a strong rationale for advancing bacoside-A toward systems pharmacology-guided preclinical and clinical evaluation as an adjunct neuroprotective candidate."
229,"Parkinson's disease (PD) is a common neurodegenerative disease. Our previous single-cell sequencing results suggested that Transcription Factor E3 (TFE3) was only differentially expressed in microglia in the MPTP mouse model. However, the functional role of microglial TFE3 in PD pathogenesis remains unclear. First, motor function was assessed in MPTP mice following TFE3 overexpression in substantia nigra microglia. Second, RNA-seq was used to identify the function of TFE3 in microglia, and the molecular mechanism was verified both in vivo and in vitro. Finally, we investigated whether TFE3 nuclear translocation affects its transcriptional activity and subsequently influences microglia in vitro. Overexpression of TFE3 in substantia nigra microglia could alleviate PD-related phenotypes. RNA-seq revealed that TFE3 regulates microglial phagocytosis and inflammation. Mechanistically, TFE3 affects these functions by regulating the expression of Mer receptor tyrosine kinase (Mertk) and lysosomal-associated membrane protein 1 (Lamp1). Finally, Rapamycin could activate the nuclear translocation of TFE3 and enhance phagocytosis and alleviate inflammation of microglia. Our findings demonstrate that Rapamycin activates TFE3, which in turn upregulates the expression of Mertk and Lamp1 in the substantia nigra. This TFE3-mediated pathway plays a critical role in regulating microglial phagocytosis and inflammation in the PD model."
230,"Poly-ADP-ribosylation (PARylation), catalyzed by the enzyme PARP1, involves the addition of poly-ADP-ribose polymers (PAR) and has been associated with α-synuclein aggregation in Parkinson's disease (PD) models. This study aimed to unravel the role of PARylation in α-synuclein aggregation and neuronal cell death in the complex environment of post-mortem human PD brains. Using high-resolution imaging and 3D reconstruction analysis, we observed that PAR accumulate in the cytoplasm in regions affected by PD pathology, preceding the formation of α-synuclein oligomers. Additionally, we found that PAR and stress granules contribute to the formation of Lewy bodies. Increased colocalization of PAR with mitochondria in the substantia nigra of PD patients, along with the presence of PAR-positive condensed DNA, further suggests a role in neuronal cell death. Collectively, our findings reveal a critical involvement of PARylation in the pathological mechanisms underlying neurodegeneration in PD and position PARylation as a potential therapeutic target."
231,"Current treatments for Parkinson's disease (PD) fail to halt dopaminergic neurodegeneration and remain largely ineffective against cognitive impairment. Here, we developed IP@ALipo, a nanoplatform that co-delivers the clinical drug pramipexole (PPX) and PEGylated iron oxide nanozyme particles (PEG-IO) via Angiopep-2-modified liposomes capable of crossing the blood-brain barrier (BBB). In the PD mouse model, in vivo photometry showed that a single dose of IP@ALipo significantly enhanced dopaminergic signaling from the substantia nigra pars compacta (SNc) to the striatum (STr) via its PPX component. Facilitated by PEG-IO in IP@ALipo, repeated administration further suppressed cerebral ROS and promoted sustained dopaminergic recovery, resulting in improved motor function. Importantly, the PEG-IO component also preserved hippocampal neurons and restored synaptic architecture, yielding pronounced cognitive benefits. This study demonstrates a nanozyme-augmented strategy for clinical drugs that not only sustains nigrostriatal dopaminergic recovery but also provides cognitive improvements beyond conventional Parkinson's treatments, offering a comprehensive therapeutic approach."
232,"Recent evidence links gut dysbiosis and the gut-brain axis to the pathophysiology of Parkinson's disease (PD), which is considered one of the most common neurodegenerative illnesses and is characterized by motor symptoms and a gradual loss of nigral dopaminergic neurons. Canagliflozin (CANA), a sodium-glucose cotransporter-2 inhibitor with emerging anti-inflammatory and antioxidant properties, has recently gained attention for its neuroprotective effects beyond glycemic control. This research aimed to examine the neuroprotective potential of CANA in a rat model of PD, focusing on its potential effect on the gut-inflammasome-brain axis. Rats were treated with rotenone (ROT) (2 mg/kg, subcutaneous) and/or CANA (20 mg/kg, oral) for 30 consecutive days. Behavioral assessment (n = 13), biochemical assays (n = 6), and histological and immunohistochemical analysis (n = 3) were performed. Microbiome profiling (n = 3) using 16S rRNA amplicon sequencing was conducted using three pooled fecal samples/group, with each pool prepared from fecal material collected from three rats and fecal metabolomic profiling (n = 5) was performed to assess microbial metabolites. ROT intoxication caused significant motor impairments, including decreased locomotor activity, poor coordination, and increased catalepsy. Further histological examination demonstrated dopaminergic neuronal loss and α-synuclein aggregation in the substantia nigra and striatum. CANA treatment enhanced motor function, conserved neuronal integrity, and decreased α-synuclein accumulation. Moreover, ROT altered the gut microbiota with selective taxonomic shifts, including enriched abundance of Parabacteroides and Ruminococcaceae with depleted Prevotella-related taxa, in addition to fecal metabolite profile alteration. Consequently, it increased colonic oxidative stress and weakened tight junctions, all of which enhanced LPS translocation. This systemic endotoxemia generated oxidative stress, dyslipidemia, and NF-κB/NLRP3 inflammasome activation. Conversely, CANA restored gut microbial balance and their metabolites, and gut integrity, decreased LPS leakage, and reduced systemic and central oxidative stress and inflammation, preventing inflammasome activation and α-synuclein aggregation. Collectively, these findings suggest that CANA may exert neuroprotective effects in ROT-induced PD associated with modulating the gut-inflammasome-brain axis."
233,"Parkinson's disease (PD) is a complex neurodegenerative disorder characterised by the progressive loss of dopaminergic neurons in the substantia nigra, resulting in motor symptoms such as bradykinesia, resting tremor, rigidity, and postural instability. This study investigated the association between two single nucleotide polymorphisms of the nicotinic choline receptors α5 (<i>CHRNA5</i>), and the likelihood of developing PD among individuals from the Northern Han Chinese community. A retrospective case-control study included 400 PD patients and 400 age- and sex-matched healthy controls. We detected <i>CHRNA5</i> variants using polymerase chain reaction-restriction fragment length polymorphism and analysed the data with R(4.2.0). The rs680244 TT genotype was associated with an increased risk of PD (OR = 1.801, 95% CI: 1.050-3.089, nominal <i>p</i> = 0.031), with a similar association observed under the recessive model (OR = 1.786, 95% CI: 1.056-3.080, nominal <i>p</i> = 0.033). In the male subgroup (198 PD cases and 220 controls), the T allele was also associated with increased PD risk (OR = 1.356, 95% CI: 1.025-1.854, nominal <i>p</i> = 0.040). However, none of these associations remained statistically significant after multiple testing correction using the Bonferroni method. No statistically significant associations were observed for rs495090 in any of the analyses performed. The CHRNA5 rs680244 T allele showed a suggestive association with sporadic PD susceptibility in the Northern Han Chinese population. However, these findings should be interpreted with caution and require validation in larger cohorts across different ethnic populations and clinical settings, ideally with smoking-related data available."
234,"Striatal medium spiny neurons expressing D1 dopamine receptors (D1-MSNs) are a key component in the direct pathway of the basal ganglia and exhibit chronically suppressed activity in Parkinson's disease. To enable selective anatomical and functional interrogation of D1-MSNs, we developed an adeno-associated virus (AAV) toolkit that achieved robust and selective transgene expression in D1-MSNs through retrograde transduction of their substantia nigra axons. We first screened an AAV9 capsid insertion library and identified variants with markedly enhanced retrograde access to D1-MSNs. Next, we engineered a series of enhancers and demonstrate that they drive strong and specific gene expression in D1-MSNs after retrograde transduction in both mice and a macaque. Importantly, we demonstrate that our toolkit enables targeted modulation of the direct pathway, eliciting pathway-specific behaviors and rescuing motor deficits in a murine model of Parkinson's disease. These findings highlight the utility of our D1-MSN-targeting tools for basic and translational research."
235,"Sporadic Progressive Ataxia with Palatal Tremor (PAPT) is an extremely rare movement disorder syndrome with only three autopsy reports published in the literature to date. Previously described cases showed hypertrophic olivary degeneration with tau-positive neuronal inclusions, although differences were noted in tau isoforms and the presence of additional neurodegenerative pathology. We report an additional autopsy case with morphological similarities in pathology but without tau inclusions. To describe clinically, radiologically and neuropathologically a case of PAPT. Retrospective clinical data collection from electronic records, authorized video material and postmortem neuropathology study. A 74-year-old women presented with a gait ataxia and parkinsonism at the age 67, followed three years later by rhythmic chin and palatal tremor. Probable REM sleep behavior disorder was reported approximately ten years before symptom onset. MRI demonstrated bilateral T2/T2-FLAIR hyperintensity and enlargement of the inferior olivary nuclei. The clinical progression was dominated by the ataxia, and the tremor remained throughout the disease course. Neuropathological findings showed hypertrophic olivary degeneration with glomeruloid bodies, without tau pathology and occasional neuronal and dendritic p62 immunoreactivity. Focal neuronal loss and gliosis were observed in cerebellar dentate nucleus. There was substantia nigra neuronal loss with Lewy pathology in neocortical stage (Braak stage 5), but without involvement of inferior olivary nucleus or cerebellum. Our findings confirmed hypertrophic olivary degeneration as the pathologic substrate of PAPT. The absence of tau pathology distinguishes it from previously reported cases, indicating heterogeneity in the underlying pathophysiological disease mechanisms. Concomitant Lewy body pathology may have contributed to parkinsonism and REM sleep behavior disorder."
236,"Mitogen-activated protein kinase (MAPK) signaling is increasingly recognized as a central regulator in the pathogenesis of Parkinson's disease (PD). PD is a chronic neurodegenerative disorder characterized by the progressive loss of dopaminergic neurons in the substantia nigra pars compacta (SNpc), driven by a complex interplay of mitochondrial dysfunction, oxidative stress, and neuroinflammation. While basal MAPK activity is essential for neuroprotection and neuronal growth, its overactivation, specifically via the JNK and p38 cascades, accelerates neurodegeneration. This review explores the molecular landscape of MAPK signaling, detailing how its dysregulation promotes the accumulation of alpha-synuclein and the activation of microglia. Furthermore, it highlights critical crosstalk between MAPK and other vital pathways, including the inhibition of the neuroprotective PI3K/AKT and PP2A pathways and the detrimental activation of GSK-3β and PTEN signaling. Preclinical evidence strongly supports the use of MAPK inhibitors to mitigate dopaminergic neurotoxicity and reduce proinflammatory cytokine release. Despite promising results in experimental models and the development of highly selective inhibitors, clinical translation remains challenging due to potential systemic toxicities. This manuscript provides a comprehensive synthesis of mounting and mooting evidence, positioning MAPK inhibition as a potent, albeit complex, adjuvant strategy for delaying the onset and progression of PD neuropathology."
237,"Parkinson's Disease (PD) represents the second most prevalent neurodegenerative condition which leads to the progressive destruction of dopaminergic neurons in the substantia nigra through oxidative stress mechanisms. The research evaluated Gallic Acid (GA) as a natural polyphenol with proven antioxidant properties for its ability to protect cells from 1-methyl-4-phenylpyridinium (MPP⁺)-induced neurotoxicity in SH-SY5Y dopaminergic cell models. The research used SH-SY5Y cells which received 1 mM MPP⁺ treatment alongside different GA concentrations (25, 50 and 100 µM) for 24 and 48 h. The CCK-8 assay measured cell viability while flow cytometry evaluated apoptosis and SOD and MDA levels determined oxidative status through SOD and Catalase and NO measurements. The addition of MPP⁺ resulted in a 32.74% decrease in cell viability at 48 h while simultaneously decreasing SOD and Catalase and NO levels and increasing MDA levels. The addition of 25 µM GA protected cells from damage by increasing their viability to 86.53% at 48 h and decreasing apoptotic cell numbers. Our results revealed that co-treatment with 25-50 µM GA effectively mitigated oxidative damage by preventing the depletion of catalase and NO levels. Furthermore, GA successfully reduced lipid peroxidation; specifically, 25 µM GA decreased MDA levels from 21.18 to 9.64 nM/mg protein at 48 h, thereby restoring the cellular antioxidant defense system against MPP<sup>+</sup>-induced oxidative stress. In conclusion, the present study demonstrates that GA exerts a significant neuroprotective effect in an in vitro PD model by modulating the endogenous antioxidant network and alleviating lipid peroxidation. By effectively reversing the depletion of crucial enzymes and reducing apoptosis, GA shows potential therapeutic efficacy against oxidative stress-associated neurodegeneration. These findings suggest that GA is a promising phytochemical candidate warranting further in vivo evaluation to clarify its long-term bioavailability and translational value."
238,"Parkinson's disease is a neurodegenerative disorder characterized by degeneration of nigrostriatal dopamine neurons and basal ganglia dysfunction, with sex differences in risk and progression that are not yet fully understood. Here, we investigated how peripubertal loss of gonadal hormones influences nigrostriatal integrity, striatal synaptic architecture, and motor behavior in male mice. Using a castration model, we show that early androgen deprivation recapitulates key neuropathological and behavioral features of Parkinsonian hypodopaminergia, including reduced tyrosine hydroxylase-positive neurons in the substantia nigra pars compacta, impaired motor performance on the vertical pole and rotarod, and disrupted forelimb kinematics. At the circuit level, androgen loss markedly reduced mushroom spine density on both direct- and indirect pathway striatal spiny projection neurons, with a concomitant increase in immature spine classes, consistent with impaired synaptic maturation. These structural and behavioral deficits were accompanied by reduced striatal Tyrosine receptor kinase-B (TrkB) protein, suggesting attenuation of brain derived neurotrophic factor (BDNF)/TrkB trophic signaling. Testosterone replacement preserved nigral dopaminergic neurons, normalized motor behavior, prevented mushroom spine loss across both striatal pathways, and selectively increased long/thin spines on direct-pathway neurons, suggesting enhanced synaptic plasticity. Together, these findings support a hormone-trophic model in which androgen signaling maintains nigrostriatal integrity and striatal synaptic maturation through androgen receptor-dependent BDNF/TrkB mechanisms. Although Parkinson's disease predominantly manifests with aging, these results suggest that early disruption of androgen signaling can produce lasting circuit-level alterations that influence vulnerability to degeneration over time, providing mechanistic insight into sex differences in Parkinson's Disease."
239,"Iron deposition is thought to be associated with the physiological mechanisms of Parkinson's disease (PD). However, the pathogenesis remains unclear, and the aim of this study was to investigate the relationship between the progression of iron deposition in the substantia nigra (SN) at different stages of PD and alterations in brain functional connectivity (FC). MRI was performed for 106 patients with PD, who were divided into groups with Early Stage (ES) (51 patients) and Advanced Stage (AS) (55 patients) PD according to the Hoehn and Yahr (H&Y) score of clinical severity, along with 45 age and sex matched healthy controls (HC). The iron content of the SN was measured using Quantitative Susceptibility Mapping (QSM), and whole-brain functional connectivity (FC) analysis of functional Magnetic Resonance Imaging (rsfMRI) data was performed using the SN as a seed point. The groups of patients with ES and AS both had significantly increased iron concentration in SN compared to HC, and significantly greater iron in the AS group compared to the ES group. In addition, seed-based FC analysis showed significantly lower FC between the SN and major functional networks, including the sensorimotor network (SMN), the default mode network (DMN), the visual network (VN), the dorsal attentional network (DAN), and the frontal-parietal network (FPN) in the ES and AS compared with the HC group. These findings suggest that abnormal iron accumulation in the SN contributes to progressive disruption of brain networks, reflecting the underlying neurodegenerative process of PD. The association between increased iron load and decreased FC highlights the potential role of iron metabolism in driving network-level dysfunction. This provides new insights into the mechanisms linking microstructural pathology to functional disintegration in PD. The novelty in this work stems from the changing FC relationships with iron content in the SN and clinical symptoms for the early versus late stage PD subjects. The progression of PD and increase in iron content of the SN, along with the decrease in whole brain FC and increase in clinical symptoms, could provide stage-specific imaging biomarkers for monitoring PD progression. Furthermore, the identified relationship between iron deposition and network dysfunction may inform the future development of network-targeted therapeutic strategies."
